name,pop,location
Toronto,2600000,"https://www.google.com/maps/?q=43.7001,-79.4163"
Montreal,1600000,"https://www.google.com/maps/?q=45.5088,-73.5878"
Calgary,1019942,"https://www.google.com/maps/?q=51.0501,-114.085"
Ottawa,812129,"https://www.google.com/maps/?q=45.4112,-75.6981"
Edmonton,712391,"https://www.google.com/maps/?q=53.5501,-113.469"
Mississauga,668549,"https://www.google.com/maps/?q=43.5789,-79.6583"
North York,636000,"https://www.google.com/maps/?q=43.7668,-79.4163"
Winnipeg,632063,"https://www.google.com/maps/?q=49.8844,-97.147"
Scarborough,600000,"https://www.google.com/maps/?q=43.7722,-79.2567"
Vancouver,600000,"https://www.google.com/maps/?q=49.2497,-123.119"
Quebec,528595,"https://www.google.com/maps/?q=46.8123,-71.2145"
Hamilton,519949,"https://www.google.com/maps/?q=43.2501,-79.8496"
Brampton,433806,"https://www.google.com/maps/?q=43.6834,-79.7663"
Surrey,394976,"https://www.google.com/maps/?q=49.1063,-122.825"
Laval,376845,"https://www.google.com/maps/?q=45.57,-73.692"
Halifax,359111,"https://www.google.com/maps/?q=44.6453,-63.5724"
Etobicoke,347948,"https://www.google.com/maps/?q=43.6542,-79.5671"
London,346765,"https://www.google.com/maps/?q=42.9834,-81.233"
Okanagan,297601,"https://www.google.com/maps/?q=50.3639,-119.35"
Victoria,289625,"https://www.google.com/maps/?q=48.4329,-123.369"
Windsor,278013,"https://www.google.com/maps/?q=42.3001,-83.0165"
Markham,261573,"https://www.google.com/maps/?q=43.8668,-79.2663"
Oshawa,247989,"https://www.google.com/maps/?q=43.9001,-78.8496"
Gatineau,242124,"https://www.google.com/maps/?q=45.4772,-75.7016"
Vaughan,238866,"https://www.google.com/maps/?q=43.8361,-79.4983"
Kitchener,233700,"https://www.google.com/maps/?q=43.4254,-80.5112"
Longueuil,229330,"https://www.google.com/maps/?q=45.5312,-73.5181"
Burnaby,202799,"https://www.google.com/maps/?q=49.2664,-122.953"
Ladner,200000,"https://www.google.com/maps/?q=49.0894,-123.082"
Saskatoon,198958,"https://www.google.com/maps/?q=52.1324,-106.669"
Richmond Hill,185541,"https://www.google.com/maps/?q=43.8711,-79.4372"
Barrie,182041,"https://www.google.com/maps/?q=44.4001,-79.6663"
Richmond,182000,"https://www.google.com/maps/?q=49.17,-123.137"
Nepean,180000,"https://www.google.com/maps/?q=45.3521,-75.7398"
Regina,176183,"https://www.google.com/maps/?q=50.4501,-104.618"
Oakville,165697,"https://www.google.com/maps/?q=43.4501,-79.6829"
Burlington,164415,"https://www.google.com/maps/?q=43.3862,-79.8371"
Greater Sudbury,157857,"https://www.google.com/maps/?q=46.49,-80.99"
Abbotsford,151683,"https://www.google.com/maps/?q=49.058,-122.253"
Saguenay,143692,"https://www.google.com/maps/?q=48.4168,-71.0657"
St. Catharines,131989,"https://www.google.com/maps/?q=43.1713,-79.2427"
Sherbrooke,129447,"https://www.google.com/maps/?q=45.4001,-71.8991"
Anmore,126456,"https://www.google.com/maps/?q=49.3164,-122.853"
Levis,126396,"https://www.google.com/maps/?q=46.8033,-71.1779"
Kelowna,125109,"https://www.google.com/maps/?q=49.8831,-119.486"
Cambridge,120372,"https://www.google.com/maps/?q=43.3601,-80.3127"
Trois-Rivieres,119693,"https://www.google.com/maps/?q=46.3451,-72.5477"
Guelph,115760,"https://www.google.com/maps/?q=43.5459,-80.256"
East York,115365,"https://www.google.com/maps/?q=43.6905,-79.3279"
Coquitlam,114565,"https://www.google.com/maps/?q=49.283,-122.753"
Kingston,114195,"https://www.google.com/maps/?q=44.2298,-76.481"
Sydney,105968,"https://www.google.com/maps/?q=46.1351,-60.1831"
Delta,101668,"https://www.google.com/maps/?q=49.144,-122.907"
Dartmouth,101343,"https://www.google.com/maps/?q=44.6713,-63.5772"
Thunder Bay,99334,"https://www.google.com/maps/?q=48.382,-89.2502"
St. John's,99182,"https://www.google.com/maps/?q=47.5649,-52.7093"
Waterloo,97475,"https://www.google.com/maps/?q=43.4668,-80.5164"
Terrebonne,94703,"https://www.google.com/maps/?q=45.7,-73.6473"
Ajax,90167,"https://www.google.com/maps/?q=43.8501,-79.0329"
Saint John,87857,"https://www.google.com/maps/?q=45.2727,-66.0677"
Pickering,87838,"https://www.google.com/maps/?q=43.9001,-79.1329"
Brantford,87759,"https://www.google.com/maps/?q=43.1334,-80.2664"
Moncton,87467,"https://www.google.com/maps/?q=46.0945,-64.7965"
Nanaimo,84905,"https://www.google.com/maps/?q=49.1664,-123.94"
Milton,84362,"https://www.google.com/maps/?q=43.5168,-79.8829"
Sarnia,82998,"https://www.google.com/maps/?q=42.9787,-82.4041"
Niagara Falls,82000,"https://www.google.com/maps/?q=43.1001,-79.0663"
Willowdale,79440,"https://www.google.com/maps/?q=43.7667,-79.3991"
Saint-Laurent,77391,"https://www.google.com/maps/?q=45.5001,-73.6658"
Chilliwack,77000,"https://www.google.com/maps/?q=49.1664,-121.953"
Repentigny,76237,"https://www.google.com/maps/?q=45.7422,-73.4501"
Fort McMurray,76000,"https://www.google.com/maps/?q=56.7268,-111.381"
Peterborough,75877,"https://www.google.com/maps/?q=44.3001,-78.3162"
Sault Ste. Marie,74948,"https://www.google.com/maps/?q=46.5168,-84.3333"
Newmarket,74295,"https://www.google.com/maps/?q=44.0501,-79.4663"
La Haute-Saint-Charles,74070,"https://www.google.com/maps/?q=46.8903,-71.3722"
Red Deer,73593,"https://www.google.com/maps/?q=52.2668,-113.802"
Saint-Leonard,73423,"https://www.google.com/maps/?q=45.5877,-73.595"
Saint-Jean-sur-Richelieu,71613,"https://www.google.com/maps/?q=45.3071,-73.2626"
Lethbridge,70617,"https://www.google.com/maps/?q=49.7,-112.819"
Maple Ridge,70000,"https://www.google.com/maps/?q=49.2194,-122.602"
Brossard,69575,"https://www.google.com/maps/?q=45.4501,-73.4658"
Kamloops,68714,"https://www.google.com/maps/?q=50.6665,-120.319"
Notre-Dame-de-Grace,67000,"https://www.google.com/maps/?q=45.4767,-73.6143"
White Rock,66450,"https://www.google.com/maps/?q=49.0164,-122.803"
Prince George,65558,"https://www.google.com/maps/?q=53.9166,-122.753"
Medicine Hat,63138,"https://www.google.com/maps/?q=50.0393,-110.677"
Norfolk County,60847,"https://www.google.com/maps/?q=42.8334,-80.383"
Drummondville,59489,"https://www.google.com/maps/?q=45.8834,-72.4824"
New Westminster,58549,"https://www.google.com/maps/?q=49.2068,-122.911"
St. Albert,57719,"https://www.google.com/maps/?q=53.6334,-113.635"
Sherwood Park,55063,"https://www.google.com/maps/?q=53.5168,-113.319"
Saint-Jerome,54948,"https://www.google.com/maps/?q=45.7804,-74.0036"
Jonquiere,54842,"https://www.google.com/maps/?q=48.4165,-71.2488"
Granby,53979,"https://www.google.com/maps/?q=45.4001,-72.7324"
Fredericton,52337,"https://www.google.com/maps/?q=45.9454,-66.6656"
Welland,50331,"https://www.google.com/maps/?q=42.9834,-79.2496"
Saint-Hyacinthe,50326,"https://www.google.com/maps/?q=45.6308,-72.957"
North Bay,50170,"https://www.google.com/maps/?q=46.3168,-79.4663"
Belleville,49454,"https://www.google.com/maps/?q=44.1668,-77.3828"
Shawinigan,49161,"https://www.google.com/maps/?q=46.5667,-72.7491"
Dollard-Des Ormeaux,48930,"https://www.google.com/maps/?q=45.4945,-73.8242"
Cornwall,48821,"https://www.google.com/maps/?q=45.0181,-74.7281"
North Vancouver,48000,"https://www.google.com/maps/?q=49.3164,-123.069"
Vernon,47274,"https://www.google.com/maps/?q=50.2673,-119.273"
Blainville,46493,"https://www.google.com/maps/?q=45.6668,-73.8825"
West End,44560,"https://www.google.com/maps/?q=49.2833,-123.133"
Chatham,43550,"https://www.google.com/maps/?q=42.4122,-82.1849"
Timmins,42997,"https://www.google.com/maps/?q=48.4669,-81.3331"
Chateauguay,42786,"https://www.google.com/maps/?q=45.3834,-73.7492"
Quinte West,42697,"https://www.google.com/maps/?q=44.1834,-77.5662"
West Vancouver,42694,"https://www.google.com/maps/?q=49.3667,-123.167"
Charlottetown,42402,"https://www.google.com/maps/?q=46.239,-63.1341"
Rimouski,42240,"https://www.google.com/maps/?q=48.4488,-68.524"
Saint-Eustache,42062,"https://www.google.com/maps/?q=45.565,-73.9055"
Grande Prairie,41462,"https://www.google.com/maps/?q=55.1667,-118.803"
Boucherville,39062,"https://www.google.com/maps/?q=45.591,-73.4361"
Salaberry-de-Valleyfield,38662,"https://www.google.com/maps/?q=45.2501,-74.1325"
Penticton,37721,"https://www.google.com/maps/?q=49.4806,-119.586"
St. Thomas,36110,"https://www.google.com/maps/?q=42.7736,-81.1804"
Rock Forest,35500,"https://www.google.com/maps/?q=45.357,-71.9968"
Joliette,34772,"https://www.google.com/maps/?q=46.0164,-73.4236"
Mirabel,34626,"https://www.google.com/maps/?q=45.6501,-74.0825"
Mascouche,34626,"https://www.google.com/maps/?q=45.7496,-73.5996"
Prince Albert,34609,"https://www.google.com/maps/?q=53.2001,-105.768"
Victoriaville,34426,"https://www.google.com/maps/?q=46.0501,-71.9658"
Brant,34415,"https://www.google.com/maps/?q=43.1334,-80.3497"
Woodstock,33892,"https://www.google.com/maps/?q=43.1334,-80.7497"
Campbell River,33430,"https://www.google.com/maps/?q=50.0163,-125.245"
Ancaster,33232,"https://www.google.com/maps/?q=43.2181,-79.9872"
Courtenay,32793,"https://www.google.com/maps/?q=49.6866,-124.994"
Orangeville,32640,"https://www.google.com/maps/?q=43.9168,-80.0997"
North Cowichan,32272,"https://www.google.com/maps/?q=48.8413,-123.686"
Moose Jaw,32166,"https://www.google.com/maps/?q=50.4001,-105.534"
Midland,31502,"https://www.google.com/maps/?q=44.7501,-79.883"
Cote-Saint-Luc,31395,"https://www.google.com/maps/?q=45.4654,-73.6658"
Saint-Georges,31173,"https://www.google.com/maps/?q=46.1135,-70.6653"
Val-d'Or,31123,"https://www.google.com/maps/?q=48.0974,-77.7974"
Stratford,30233,"https://www.google.com/maps/?q=43.3668,-80.9497"
Orillia,30178,"https://www.google.com/maps/?q=44.6087,-79.4207"
Pointe-Claire,30161,"https://www.google.com/maps/?q=45.4487,-73.8167"
Baie-Comeau,29808,"https://www.google.com/maps/?q=49.2168,-68.1489"
Alma,29526,"https://www.google.com/maps/?q=48.5501,-71.6491"
Sainte-Julie,29019,"https://www.google.com/maps/?q=45.5834,-73.3325"
West Kelowna,28793,"https://www.google.com/maps/?q=49.8625,-119.583"
Port Moody,27512,"https://www.google.com/maps/?q=49.283,-122.853"
Lloydminster,27000,"https://www.google.com/maps/?q=53.2724,-110.023"
Boisbriand,26483,"https://www.google.com/maps/?q=45.6168,-73.8325"
Brandon,26234,"https://www.google.com/maps/?q=49.8469,-99.9531"
Vaudreuil-Dorion,25789,"https://www.google.com/maps/?q=45.4001,-74.0325"
Thetford-Mines,25704,"https://www.google.com/maps/?q=46.0937,-71.3054"
Walnut Grove,25683,"https://www.google.com/maps/?q=49.1647,-122.64"
Prince Edward,25496,"https://www.google.com/maps/?q=44.0001,-77.2495"
Sainte-Therese,25224,"https://www.google.com/maps/?q=45.6392,-73.8276"
Airdrie,24673,"https://www.google.com/maps/?q=51.3001,-114.035"
Mount Pearl,24671,"https://www.google.com/maps/?q=47.5166,-52.7813"
Saint-Bruno-de-Montarville,24388,"https://www.google.com/maps/?q=45.5334,-73.3492"
Rouyn-Noranda,24023,"https://www.google.com/maps/?q=48.2366,-79.0231"
Saint-Constant,23957,"https://www.google.com/maps/?q=45.3668,-73.5659"
Brockville,23886,"https://www.google.com/maps/?q=44.5913,-75.687"
Langley,23606,"https://www.google.com/maps/?q=49.1011,-122.659"
Whitehorse,23272,"https://www.google.com/maps/?q=60.7161,-135.054"
Owen Sound,22625,"https://www.google.com/maps/?q=44.5672,-80.9435"
Chambly,22608,"https://www.google.com/maps/?q=45.4501,-73.2825"
Sept-Iles,22582,"https://www.google.com/maps/?q=50.2001,-66.3821"
Langford,22459,"https://www.google.com/maps/?q=48.4496,-123.503"
Duncan,22199,"https://www.google.com/maps/?q=48.7829,-123.703"
La Prairie,21763,"https://www.google.com/maps/?q=45.4168,-73.4992"
Lower Sackville,21379,"https://www.google.com/maps/?q=44.776,-63.6786"
Port Alberni,21282,"https://www.google.com/maps/?q=49.2413,-124.803"
Keswick,21000,"https://www.google.com/maps/?q=44.2501,-79.4663"
Varennes,20950,"https://www.google.com/maps/?q=45.6834,-73.4325"
Clarence-Rockland,20790,"https://www.google.com/maps/?q=45.5501,-75.291"
Truro,20650,"https://www.google.com/maps/?q=45.3669,-63.2654"
Westmount,20494,"https://www.google.com/maps/?q=45.4834,-73.5992"
Kirkland,20491,"https://www.google.com/maps/?q=45.4501,-73.8659"
Lindsay,20354,"https://www.google.com/maps/?q=44.3501,-78.7329"
New Glasgow,20322,"https://www.google.com/maps/?q=45.5834,-62.6486"
Cole Harbour,20000,"https://www.google.com/maps/?q=44.6724,-63.4751"
Glace Bay,19968,"https://www.google.com/maps/?q=46.1969,-59.957"
Huntsville,19579,"https://www.google.com/maps/?q=45.3334,-79.2163"
Terrace,19443,"https://www.google.com/maps/?q=54.5163,-128.603"
North Battleford,19440,"https://www.google.com/maps/?q=52.7797,-108.297"
Beaconsfield,19194,"https://www.google.com/maps/?q=45.4334,-73.8659"
Mont-Royal,18933,"https://www.google.com/maps/?q=45.5168,-73.6492"
Beloeil,18927,"https://www.google.com/maps/?q=45.5684,-73.2057"
Corner Brook,18693,"https://www.google.com/maps/?q=48.95,-57.952"
Cranbrook,18610,"https://www.google.com/maps/?q=49.4999,-115.769"
Port Colborne,18599,"https://www.google.com/maps/?q=42.9001,-79.2329"
Riviere-du-Loup,18586,"https://www.google.com/maps/?q=47.827,-69.5424"
Dieppe,18565,"https://www.google.com/maps/?q=46.0784,-64.6873"
Thorold,18224,"https://www.google.com/maps/?q=43.1168,-79.1996"
Miramichi,18129,"https://www.google.com/maps/?q=47.0289,-65.5019"
Cobourg,18099,"https://www.google.com/maps/?q=43.9598,-78.1652"
Dorval,18088,"https://www.google.com/maps/?q=45.4473,-73.7533"
Oak Bay,18015,"https://www.google.com/maps/?q=48.4496,-123.303"
Amos,17918,"https://www.google.com/maps/?q=48.5669,-78.1162"
Spruce Grove,17767,"https://www.google.com/maps/?q=53.5334,-113.919"
Pitt Meadows,17410,"https://www.google.com/maps/?q=49.2212,-122.69"
